datetime,symbol,open,high,low,close,volume
2022-07-23 21:00:00,BINANCE:BTCUSDT,22448.58,23014.64,22257.15,22579.68,115189.67277
2022-07-24 21:00:00,BINANCE:BTCUSDT,22577.13,22666.0,21250.0,21310.9,180344.76643
2022-07-25 21:00:00,BINANCE:BTCUSDT,21310.9,21347.82,20706.5,21254.67,177817.24326
2022-07-26 21:00:00,BINANCE:BTCUSDT,21254.67,23112.63,21042.53,22952.45,210971.19796
2022-07-27 21:00:00,BINANCE:BTCUSDT,22954.31,24199.72,22582.13,23842.93,236029.0741
2022-07-28 21:00:00,BINANCE:BTCUSDT,23845.25,24442.66,23414.03,23773.75,198298.50623
2022-07-29 21:00:00,BINANCE:BTCUSDT,23777.28,24668.0,23502.25,23643.51,151060.13211
2022-07-30 21:00:00,BINANCE:BTCUSDT,23644.64,24194.82,23227.31,23293.32,127743.32483
2022-07-31 21:00:00,BINANCE:BTCUSDT,23296.36,23509.68,22850.0,23268.01,144210.16219
2022-08-01 21:00:00,BINANCE:BTCUSDT,23266.9,23459.89,22654.37,22987.79,158073.28225
2022-08-02 21:00:00,BINANCE:BTCUSDT,22985.93,23647.68,22681.22,22818.37,145948.80995
2022-08-03 21:00:00,BINANCE:BTCUSDT,22816.91,23223.32,22400.0,22622.98,154854.67016
2022-08-04 21:00:00,BINANCE:BTCUSDT,22622.41,23472.86,22586.95,23312.42,175251.69749
2022-08-05 21:00:00,BINANCE:BTCUSDT,23313.56,23354.36,22909.52,22954.21,83911.80307
2022-08-06 21:00:00,BINANCE:BTCUSDT,22954.21,23402.0,22844.62,23174.39,88890.00877
2022-08-07 21:00:00,BINANCE:BTCUSDT,23174.39,24245.0,23154.25,23810.0,170958.44152
2022-08-08 21:00:00,BINANCE:BTCUSDT,23810.98,23933.25,22865.0,23149.95,143182.50858
2022-08-09 21:00:00,BINANCE:BTCUSDT,23151.32,24226.0,22664.69,23954.05,208916.54953
2022-08-10 21:00:00,BINANCE:BTCUSDT,23954.05,24918.54,23852.13,23934.39,249759.79557
2022-08-11 21:00:00,BINANCE:BTCUSDT,23933.09,24456.5,23583.0,24403.68,174207.5704
2022-08-12 21:00:00,BINANCE:BTCUSDT,24401.7,24888.0,24291.22,24441.38,152852.25435
2022-08-13 21:00:00,BINANCE:BTCUSDT,24443.06,25047.56,24144.0,24305.24,151206.14473
2022-08-14 21:00:00,BINANCE:BTCUSDT,24305.25,25211.32,23773.22,24094.82,242539.54758
2022-08-15 21:00:00,BINANCE:BTCUSDT,24093.04,24247.49,23671.22,23854.74,179324.94821
2022-08-16 21:00:00,BINANCE:BTCUSDT,23856.15,24446.71,23180.4,23342.66,210668.68766
2022-08-17 21:00:00,BINANCE:BTCUSDT,23342.66,23600.0,23111.04,23191.2,144185.97011
2022-08-18 21:00:00,BINANCE:BTCUSDT,23191.45,23208.67,20783.57,20834.39,283995.87747
2022-08-19 21:00:00,BINANCE:BTCUSDT,20834.39,21382.85,20761.9,21140.07,183041.68363
2022-08-20 21:00:00,BINANCE:BTCUSDT,21140.07,21800.0,21069.11,21515.61,159200.6841
2022-08-21 21:00:00,BINANCE:BTCUSDT,21516.7,21548.71,20890.18,21399.83,222222.04526
2022-08-22 21:00:00,BINANCE:BTCUSDT,21400.75,21684.87,20890.14,21529.12,200967.77164
2022-08-23 21:00:00,BINANCE:BTCUSDT,21529.11,21900.0,21145.0,21368.08,174383.22046
2022-08-24 21:00:00,BINANCE:BTCUSDT,21368.05,21819.88,21310.15,21559.04,169915.78301
2022-08-25 21:00:00,BINANCE:BTCUSDT,21559.04,21886.77,20107.9,20241.05,273811.61955
2022-08-26 21:00:00,BINANCE:BTCUSDT,20239.14,20402.93,19800.0,20037.6,162582.46032
2022-08-27 21:00:00,BINANCE:BTCUSDT,20037.6,20171.18,19520.0,19555.61,139307.95976
2022-08-28 21:00:00,BINANCE:BTCUSDT,19555.61,20433.62,19550.79,20285.73,210509.49545
2022-08-29 21:00:00,BINANCE:BTCUSDT,20287.2,20576.25,19540.0,19811.66,256634.35529
2022-08-30 21:00:00,BINANCE:BTCUSDT,19813.03,20490.0,19797.94,20050.02,276946.60765
2022-08-31 21:00:00,BINANCE:BTCUSDT,20048.44,20208.37,19565.66,20131.46,245289.94576
2022-09-01 21:00:00,BINANCE:BTCUSDT,20132.64,20441.26,19755.29,19951.86,245986.6033
2022-09-02 21:00:00,BINANCE:BTCUSDT,19950.98,20055.93,19652.72,19831.9,146639.03204
2022-09-03 21:00:00,BINANCE:BTCUSDT,19832.45,20029.23,19583.1,20000.3,145588.77893
2022-09-04 21:00:00,BINANCE:BTCUSDT,20000.3,20057.27,19633.83,19796.84,222543.01057
2022-09-05 21:00:00,BINANCE:BTCUSDT,19795.34,20180.0,18649.51,18790.61,356315.05718
2022-09-06 21:00:00,BINANCE:BTCUSDT,18790.61,19464.06,18510.77,19292.84,287394.7788
2022-09-07 21:00:00,BINANCE:BTCUSDT,19292.85,19458.25,19012.0,19319.77,262813.28273
2022-09-08 21:00:00,BINANCE:BTCUSDT,19320.54,21597.22,19291.75,21360.11,428919.74652
2022-09-09 21:00:00,BINANCE:BTCUSDT,21361.62,21810.8,21111.13,21648.34,307997.33504
2022-09-10 21:00:00,BINANCE:BTCUSDT,21647.21,21860.0,21350.0,21826.87,280702.55149
2022-09-11 21:00:00,BINANCE:BTCUSDT,21826.87,22488.0,21538.51,22395.74,395395.61828
2022-09-12 21:00:00,BINANCE:BTCUSDT,22395.44,22799.0,19860.0,20173.57,431915.03333
2022-09-13 21:00:00,BINANCE:BTCUSDT,20173.62,20541.48,19617.62,20226.71,340826.40151
2022-09-14 21:00:00,BINANCE:BTCUSDT,20227.17,20330.24,19497.0,19701.88,333069.76076
2022-09-15 21:00:00,BINANCE:BTCUSDT,19701.88,19890.0,19320.01,19803.3,283791.07064
2022-09-16 21:00:00,BINANCE:BTCUSDT,19803.3,20189.0,19748.08,20113.62,179350.24338
2022-09-17 21:00:00,BINANCE:BTCUSDT,20112.61,20117.26,19335.62,19416.18,254217.46904
2022-09-18 21:00:00,BINANCE:BTCUSDT,19417.45,19686.2,18232.56,19537.02,380512.40306
2022-09-19 21:00:00,BINANCE:BTCUSDT,19537.02,19634.62,18711.87,18875.0,324098.3286
2022-09-20 21:00:00,BINANCE:BTCUSDT,18874.31,19956.0,18125.98,18461.36,385034.10021
